For M5|Adr   166|KD2    FTS08       28       A14|Db         260.53 m   |Df         267.03 m   |Z        25.63240 m   | 
For M5|Adr   167|TO  End-Line             #   A14|                      |                      |                      | 
For M5|Adr   171|TO  Start-Line       BFFB  A01a|                      |                      |                      | 
For M5|Adr   172|KD1    A9224               A01a|                      |                      |Z         0.00000 m   | 
For M5|Adr   173|KD1    A9224      20.0 C  3A01a|Rb        1.44917 m   |HD          7.630 m   |                      | 
For M5|Adr   174|KD1        1##### 20.0 C  3A01a|Rf        1.28753 m   |HD          5.911 m   |                      | 
For M5|Adr   175|TO  Measurement repeated   A01a|                      |                      |                      | 
For M5|Adr   176|KD1        1      20.0 C  3A01a|Rf        1.28054 m   |HD          7.483 m   |                      | 
For M5|Adr   177|KD1        1      20.0 C  3A01a|Rf        1.28070 m   |HD          7.457 m   |                      | 
For M5|Adr   178|KD1    A9224      20.0 C  3A01a|Rb        1.44926 m   |HD          7.627 m   |                      | 
For M5|Adr   179|KD1        1      20.0 C   A01a|                      |                      |Z         0.16860 m   | 
For M5|Adr   180|KD1        1      19.0 C  3A01a|Rb        1.82637 m   |HD         25.452 m   |                      | 
For M5|Adr   181|KD1        2      19.0 C  3A01a|Rf        1.47354 m   |HD         26.036 m   |                      | 
For M5|Adr   182|KD1        2      19.0 C  3A01a|Rf        1.47365 m   |HD         26.032 m   |                      | 
For M5|Adr   183|KD1        1      19.0 C  3A01a|Rb        1.82617 m   |HD         25.483 m   |                      | 
For M5|Adr   184|KD1        2      19.0 C   A01a|                      |                      |Z         0.52127 m   | 
For M5|Adr   185|KD1        2      19.0 C  3A01a|Rb        2.06158 m   |HD         29.813 m   |                      | 
For M5|Adr   186|KD1        3      19.0 C  3A01a|Rf        0.74815 m   |HD         30.300 m   |                      | 
For M5|Adr   187|KD1        3      19.0 C  3A01a|Rf        0.74821 m   |HD         30.295 m   |                      | 
For M5|Adr   188|KD1        2      19.0 C  3A01a|Rb        2.06145 m   |HD         29.824 m   |                      | 
For M5|Adr   189|KD1        3      19.0 C   A01a|                      |                      |Z         1.83461 m   | 
For M5|Adr   190|KD1        3      19.0 C  3A01a|Rb        1.87734 m   |HD         25.405 m   |                      | 
For M5|Adr   191|KD1        4##### 19.0 C  3A01a|Rf        1.14398 m   |HD         23.613 m   |                      | 
For M5|Adr   192|TO  Measurement repeated   A01a|                      |                      |                      | 
For M5|Adr   193|KD1        4      19.0 C  3A01a|Rf        1.12509 m   |HD         24.500 m   |                      | 
For M5|Adr   194|KD1        4      19.0 C  3A01a|Rf        1.12514 m   |HD         24.500 m   |                      | 
For M5|Adr   195|KD1        3      19.0 C  3A01a|Rb        1.87752 m   |HD         25.378 m   |                      | 
For M5|Adr   196|KD1        4      19.0 C   A01a|                      |                      |Z         2.58692 m   | 
For M5|Adr   197|KD1        4      18.0 C  3A01a|Rb        2.26329 m   |HD         26.909 m   |                      | 
For M5|Adr   198|KD1        5      18.0 C  3A01a|Rf        0.52708 m   |HD         26.726 m   |                      | 
For M5|Adr   199|KD1        5      19.0 C  3A01a|Rf        0.52712 m   |HD         26.720 m   |                      | 
For M5|Adr   200|KD1        4      18.0 C  3A01a|Rb        2.26335 m   |HD         26.905 m   |                      | 
For M5|Adr   201|KD1        5      18.0 C   A01a|                      |                      |Z         4.32314 m   | 
For M5|Adr   202|KD1        5##### 18.0 C  3A01a|Rb        2.26471 m   |HD         25.350 m   |                      | 
For M5|Adr   203|TO  Measurement repeated   A01a|                      |                      |                      | 
For M5|Adr   204|KD1        5##### 18.0 C  3A01a|Rb        2.02628 m   |HD         21.916 m   |                      | 
For M5|Adr   205|KD1        6##### 18.0 C  3A01a|Rf        0.32225 m   |HD         18.242 m   |                      | 
For M5|Adr   206|KD1        6##### 18.0 C  3A01a|Rf        0.32225 m   |HD         18.241 m   |                      | 
For M5|Adr   207|KD1        5##### 18.0 C  3A01a|Rb        2.02691 m   |HD         21.850 m   |                      | 
For M5|Adr   208|KD1        6##### 18.0 C   A01a|                      |                      |Z         6.02749 m   | 
For M5|Adr   209|TO  Station repeated       A01a|                      |                      |                      | 
For M5|Adr   210|KD1        5      18.0 C  3A01a|Rb        1.94060 m   |HD         19.156 m   |                      | 
For M5|Adr   211|KD1        6##### 18.0 C  3A01a|Rf        0.64306 m   |HD         14.114 m   |                      | 
For M5|Adr   212|TO  Measurement repeated   A01a|                      |                      |                      | 
For M5|Adr   213|KD1        6      18.0 C  3A01a|Rf        0.39389 m   |HD         18.361 m   |                      | 
For M5|Adr   214|KD1        6      18.0 C  3A01a|Rf        0.39387 m   |HD         18.363 m   |                      | 
For M5|Adr   215|KD1        5      18.0 C  3A01a|Rb        1.94056 m   |HD         19.172 m   |                      | 
For M5|Adr   216|KD1        6      18.0 C   A01a|                      |                      |Z         5.86984 m   | 
For M5|Adr   217|KD1        6      18.0 C  3A01a|Rb        2.51012 m   |HD         19.929 m   |                      | 
For M5|Adr   218|KD1        7      18.0 C  3A01a|Rf        0.44575 m   |HD         21.657 m   |                      | 
For M5|Adr   219|KD1        7      18.0 C  3A01a|Rf        0.44573 m   |HD         21.663 m   |                      | 
For M5|Adr   220|KD1        6      18.0 C  3A01a|Rb        2.51015 m   |HD         19.927 m   |                      | 
For M5|Adr   221|KD1        7      18.0 C   A01a|                      |                      |Z         7.93424 m   | 
For M5|Adr   222|KD1        7      18.0 C  3A01a|Rb        2.63646 m   |HD         22.506 m   |                      | 
For M5|Adr   223|KD1        8      18.0 C  3A01a|Rf        0.48233 m   |HD         19.803 m   |                      | 
For M5|Adr   224|KD1        8      18.0 C  3A01a|Rf        0.48234 m   |HD         19.814 m   |                      | 
For M5|Adr   225|KD1        7      18.0 C  3A01a|Rb        2.63629 m   |HD         22.490 m   |                      | 
For M5|Adr   226|KD1        8      18.0 C   A01a|                      |                      |Z        10.08828 m   | 
For M5|Adr   227|KD1        8      18.0 C  3A01a|Rb        2.05289 m   |HD         20.440 m   |                      | 
For M5|Adr   228|KD1        9      18.0 C  3A01a|Rf        0.49206 m   |HD         21.539 m   |                      | 
For M5|Adr   229|KD1        9      18.0 C  3A01a|Rf        0.49172 m   |HD         21.527 m   |                      | 
For M5|Adr   230|KD1        8      18.0 C  3A01a|Rb        2.05245 m   |HD         20.436 m   |                      | 
For M5|Adr   231|KD1        9      18.0 C   A01a|                      |                      |Z        11.64906 m   | 
