For M5|Adr     1|TO  1061218m.dat                |                      |                      |                      For M5|Adr    13|KD1        B      20.0 C  3    |R         0.82754 m   |HD         52.898 m   |                      | 
For M5|Adr   127|KD1       12      23.0 C    B01|                      |                      |Z        -1.81298 m   | 
For M5|Adr   128|KD1       12      23.0 C  3 B01|Rb        0.99896 m   |HD         36.567 m   |                      | 
For M5|Adr   129|KD1       13      23.0 C  3 B01|Rf        1.30859 m   |HD         35.985 m   |                      | 
For M5|Adr   130|KD1       13      23.0 C  3 B01|Rf        1.30857 m   |HD         35.981 m   |                      | 
For M5|Adr   131|KD1       12      23.0 C  3 B01|Rb        0.99878 m   |HD         36.624 m   |                      | 
For M5|Adr   132|KD1       13      23.0 C    B01|                      |                      |Z        -2.12269 m   | 
For M5|Adr   133|KD1       13##### 23.0 C  3 B01|Rb        1.13116 m   |HD         35.141 m   |                      | 
For M5|Adr   134|KD1       14##### 23.0 C  3 B01|Rf        1.35618 m   |HD         34.274 m   |                      | 
For M5|Adr   135|KD1       14##### 23.0 C  3 B01|Rf        1.35542 m   |HD         34.284 m   |                      | 
For M5|Adr   136|KD1       13##### 23.0 C  3 B01|Rb        1.13123 m   |HD         35.123 m   |                      | 
For M5|Adr   137|KD1       14##### 23.0 C    B01|                      |                      |Z        -2.34729 m   | 
For M5|Adr   138|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr   139|KD1       13      23.0 C  3 B01|Rb        1.13146 m   |HD         35.143 m   |                      | 
For M5|Adr   140|KD1       14##### 23.0 C  3 B01|Rf        1.35635 m   |HD         34.282 m   |                      | 
For M5|Adr   141|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   142|KD1       14      23.0 C  3 B01|Rf        1.35579 m   |HD         34.272 m   |                      | 
For M5|Adr   143|KD1       14      23.0 C  3 B01|Rf        1.35501 m   |HD         34.275 m   |                      | 
For M5|Adr   144|KD1       13      23.0 C  3 B01|Rb        1.13110 m   |HD         35.135 m   |                      | 
For M5|Adr   145|KD1       14      23.0 C    B01|                      |                      |Z        -2.34681 m   | 
For M5|Adr   146|KD1       14      23.0 C  3 B01|Rb        1.16919 m   |HD         29.315 m   |                      | 
For M5|Adr   147|KD1       15##### 23.0 C  3 B01|Rf        1.39834 m   |HD         30.469 m   |                      | 
For M5|Adr   148|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   149|KD1       15      22.0 C  3 B01|Rf        1.39838 m   |HD         30.474 m   |                      | 
For M5|Adr   150|KD1       15##### 23.0 C  3 B01|Rf        1.39843 m   |HD         30.476 m   |                      | 
For M5|Adr   151|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   152|KD1       15      23.0 C  3 B01|Rf        1.39825 m   |HD         30.475 m   |                      | 
For M5|Adr   153|KD1       14      23.0 C  3 B01|Rb        1.16934 m   |HD         29.313 m   |                      | 
For M5|Adr   154|KD1       15      23.0 C    B01|                      |                      |Z        -2.57586 m   | 
For M5|Adr   155|KD1       15##### 23.0 C  3 B01|Rb        0.86841 m   |HD         33.168 m   |                      | 
For M5|Adr   156|KD1       16##### 23.0 C  3 B01|Rf        1.98807 m   |HD         32.658 m   |                      | 
For M5|Adr   157|KD1       16##### 23.0 C  3 B01|Rf        1.98813 m   |HD         32.662 m   |                      | 
For M5|Adr   158|KD1       15##### 23.0 C  3 B01|Rb        0.86950 m   |HD         33.172 m   |                      | 
For M5|Adr   159|KD1       16##### 23.0 C    B01|                      |                      |Z        -3.69500 m   | 
For M5|Adr   160|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr   161|KD1       15##### 23.0 C  3 B01|Rb        0.86876 m   |HD         33.180 m   |                      | 
For M5|Adr   162|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   163|KD1       15      23.0 C  3 B01|Rb        0.86911 m   |HD         33.185 m   |                      | 
For M5|Adr   164|KD1       16      23.0 C  3 B01|Rf        1.98827 m   |HD         32.670 m   |                      | 
For M5|Adr   165|KD1       16##### 23.0 C  3 B01|Rf        1.98807 m   |HD         32.650 m   |                      | 
For M5|Adr   166|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   167|KD1       16      23.0 C  3 B01|Rf        1.98772 m   |HD         32.653 m   |                      | 
For M5|Adr   168|KD1       15      23.0 C  3 B01|Rb        0.86885 m   |HD         33.178 m   |                      | 
For M5|Adr   169|KD1       16      23.0 C    B01|                      |                      |Z        -3.69487 m   | 
For M5|Adr   170|KD1       16      23.0 C  3 B01|Rb        0.52295 m   |HD         30.760 m   |                      | 
For M5|Adr   171|KD1       17##### 23.0 C  3 B01|Rf        2.04020 m   |HD         31.180 m   |                      | 
For M5|Adr   172|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   173|KD1       17      23.0 C  3 B01|Rf        2.04005 m   |HD         31.179 m   |                      | 
For M5|Adr   174|KD1       17##### 23.0 C  3 B01|Rf        2.04068 m   |HD         31.158 m   |                      | 
For M5|Adr   175|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   176|KD1       17      23.0 C  3 B01|Rf        2.04005 m   |HD         31.178 m   |                      | 
